,level_0,index,Index,item_id,seller_id,listing_title,listing_description,listing_price,category_sk,category_l1_name_en,category_l2_name_en,category_l3_name_en,Final_Area,Key
165,420,33020,33022,33021,23603,Travel System Combo,Graco Pram with baby carrier/ car seat +  car seat up to 18kg as good as new hardly used,1800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
166,424,33110,33112,33111,23655,Graco Baby Pram,"Baby Pram, Car chair and Isofix.  Great condition. Navy blue colour. 3 years old. 
R2000
Call Shanna 0769112343",2000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
167,432,33630,33632,33631,23935,Stroller,Baby stroller,180.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
168,433,33871,33873,33872,24076,Bunk Bed For Sale,Steel bunk bed with mattress for sale.  Top bunk bed is single bottom bunk bed is double.,1500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
169,447,34671,34673,34672,24536,Baby Play Gym,Baby Play Gym,175.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
170,455,35237,35239,35238,7854,Medela - Mini Electric Breastpump,"Medela - Mini Electric Breastpump, good condition, hardly used.",450.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
171,470,35843,35845,35844,25233,Comfort Harmony Electric musical baby swing for sale,Comfort Harmony Electric musical baby swing for sale,500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
172,473,36075,36077,36076,595,Awesome Chelino 0-18kg car chair available,"I have an Awesome Chelino 0-18kg car chair available 

Newborn to 4 years 

Used but in very good condition 

Only R550

Collection in Roodepoort with cash",550.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
173,486,36957,36959,36958,25233,Comfort Harmony electric Musical baby swing in a good condition,Comfort Harmony electric Musical baby swing in a good condition for sale.,500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
174,487,37170,37172,37171,595,Lime green Bumbo seat available with belts,"Lime green Bumbo seat available with belts. 

Lightly used and in near perfect condition. 

R250

Collection in Roodepoort with cash",250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
175,498,37628,37630,37629,26225,Baby cot,"Excellent condition baby cot. Can open side and use as co sleeper, then toddler bed.",1200.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
176,3,500,500,500,490,Baby pram,Nice varking,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
177,8,1039,1039,1039,1011,Baby stroller for sale.,Practically new baby stroller for sale. Very good condition.,800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
178,20,1887,1887,1887,1793,Graco pram for sale,"Graco 4 wheel pram for sale.

Cup holder that goes over the front included (just not part of pictures)",1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
179,26,2356,2356,2356,430,Left foot SIZE 10,Size 10 foot,1000000000000.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
180,28,2473,2473,2473,2324,Wireless Baby Monitor,Babecom Wireless monitor. Good working conditions with rechargeable batteries,350.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
181,33,2784,2784,2784,2604,Bby twin seat,Secondhand baby seats,750.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
182,35,2889,2889,2889,2696,Baby hanging crib,Baby strong hanging crib,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
183,39,3200,3200,3200,1502,Tommee Tippee Electric Breast Pump,"We have an electric breast pump set from Tommy Tippee for sale.
Original price was R999.
Set was hardly used.
Contains all original content except for the 150ml bottle and milk storage pot.",450.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
184,43,3507,3507,3507,3220,Baby Camping Cot with Matress,Baby camping cot with matress in good condition. Price is R 450. Contact Andre in Centurion on 082 492 6836.,450.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
185,44,3552,3552,3552,3259,Compactum,Compactum bath & cupboard unit. Bath is removable for emptying & cleaning. Top surface used as changing area. Cupboard has hanging rail & can be used for general storage as well. Currently pink but can be painted any colour by buyer.,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
186,47,4065,4065,4065,3691,Girls clothes. 3 - 6 months.,Girls clothes. 3 - 6 months. R200 for all of it.,200.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
187,49,4277,4277,4277,3874,Bounce baby set,"5 in 1 bounce baby pram , car seat, and all.",1300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
188,52,4531,4531,4531,4094,Ingenuity soothe & delight portable swing,Excellent condition only used a few times,800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
189,53,4596,4596,4596,4150,Safeway Titan Angelwings Car Seat,"Used Car seat

Group 1, 2 and 3

9 Ã¢ÂÂ 36 kg (approx 8 months Ã¢ÂÂ 12 years)

Adjustable head support

Side protection with ""AngelWings""

Forward facing only

5-point harness

Easy to install, secure lock device

Energy absorbing EPS foam.

Converts to boos",800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
190,74,5787,5787,5787,5142,Baby carry chair (New born),Baby carry chair (New Born to about 5kg)  Can also use as a chair in car,200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
191,81,6799,6799,6799,5955,Breast Pump,"Second hand Medela Swing Maxi breast pump for sale. Very good condition. Only used for 4 months.
Includes:
1 x Swing maxi motor unit.
2 x Big bottles
2 x Small bottles
2 x Breastshields
2 x Freestyle connectors
4 x Calma multi lids
1 x Bottle stand",2800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
192,95,7539,7539,7539,6555,Winnie the pooh stroller,Baby stroller to sell,123.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
193,96,7553,7553,7553,5779,"Tiny love cot mobile, brand new never used",Still in box never used,900.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
194,102,8109,8109,8109,7012,Baby Name Numerology Services,"My name is Chris. I am an intuitive, spiritual guide and spiritual numerologist. As spiritual numerologist I have 15 (fifteen) years experience.

I have a blog that is running and I mostly keep in contact with all my clients through email and Whatsapp bo",144.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
195,107,8501,8501,8501,7329,Carrycot,This carrycot is a safe place to put baby down for a nap and easy to carry baby with you in and around the house. Ideal to use when on holiday or visiting friends. Great to put baby inside when practising to sit. Hardly ever used.,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
196,111,9091,9091,9091,7780,A NEW Chelino Tandem Stroller - Blue and Green(Twin Stroller),"A NEW Chelino Tandem Stroller - Blue and Green for sale.
We bought this pram on the 27/March/2017 is still in the Box.For more info whatsup or call 0813213209",2800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
197,117,9429,9429,9429,8039,Chelino pram and car seat,"Chelino pram and car seat,good condition. Not using anymorw",800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
198,122,9735,9735,9735,8282,Kids Bed,Children double corner bed with homework desk,6000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
199,123,9782,9782,9782,8316,3in1 babyrocker for sale,very good condition.,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
200,124,10039,10039,10039,8514,Graco deluxe travel system,Graco Quattro Deluxe Travel System for sale This pram comes with a car seat that fits into the pram. The car seat clips into the pram making it perfect for an infant. The pram has a display which shows you the time and the temperature. It is in a good cond,2000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
201,129,10725,10725,10725,9024,Baby strall for sale,Make an offer. It's still new. Was used for six months,1500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
202,143,12268,12270,12269,10179,Toddler swing,Toddler swing by Hedstrom.,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
203,147,12442,12444,12443,10306,Branded baby girl Clothes,Lots of branded baby girl clothes. Prices and sizes on photos.  I also have boys and maternity clothes.,50.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
204,157,13325,13327,13326,10934,Compressor nebulizer,Compressor nebulizer. Complete nebulizer kit. Good condition.,250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
205,162,13727,13729,13728,8442,AngelCare monitor set,"3 peace AngelCare Monitor.

Includes a heart detector pad",750.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
206,164,13806,13808,13807,11279,Diaper dispenser,Diaper champ diaper dispenser,100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
207,170,14316,14318,14317,11646,New Medela bustier (white) size Large,Brand new Medela bustier still in box.,350.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
208,171,14346,14348,14347,11669,Zonic Baby camping cot,Camping cot. Used by 3 babies.,200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
209,175,14553,14555,14554,11820,Tiny Love Mobile,"Tiny Love Mobile, in working condition",80.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
210,182,14870,14872,14871,12047,Baba kot,Goeie kondisie,1500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
211,184,14968,14970,14969,12113,Baby Items,"Feeding chair - R350
Camp cot (no mattress) - R250
A-frame with toys - R150
Pooh vibrating bouncer - R400
Chelino rear facing car seat - R350
Or R850 for everything negotiable",850.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
212,185,14976,14978,14977,12120,sharpei puppy,ek het opreg sharpei puppy te Koop dus n reuntjie hy is 9 weke oud kn my whatsap vir meer inligting dankie 0611383227,600.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
213,186,15076,15078,15077,12193,High baby chair and bumbo combo,Good condition,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
214,202,16178,16180,16179,12943,Breast pump,"Medela swing (single breast) as good as new with various extras included and also 2 sizes flanges. Used for less than a month. If you buy them brand new they are over R 3000 I want R 1700.

Tommee tippee manual pump NEVER been used. I want R 500.

If y",123.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
215,207,16728,16730,16729,13329,Personal GPS Tracking for Kids,"GPS Tracking Service for  LGTS APKTracker +  E-drive user account in Platform

APKTracker is software to change Android Smart-phone/Tablet into GPS tracker.
Service is dedicated for personal use on Android device(smartphone, tablet, car audi with maxima",742.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
216,211,17128,17130,17129,13606,Maple melamine cot and matching compactum new,Maple melamine cot and matching compactum,6500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
217,216,17395,17397,17396,2201,"Snuza Sound, video and movement monitor","Please send a sms, whatÃ¢ÂÂs app or email during office hours

Calls are welcome after hours (5 pm to 9 pm)

Item can be collected in Die Wilgers, Pretoria East after 6 pm during the week or on a Saturday between 10 am and 3 pm

I donÃ¢ÂÂt deliver, post or c",950.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
218,218,17442,17444,17443,2696,Graco signature series travel system,Graco signature travel system in red with car seat,2200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
219,223,17697,17699,17698,13989,Avent electric bottle sterilizer,"Avent - Digital Steriliser 3-in-1 
The easiest way to sterilise. Adjustable Avent steriliser saves space. Our new Avent electric steam steriliser has been designed to make sterilising as simple as possible. With adjustable size, it takes up less kitchen sp",1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
220,225,17798,17800,17799,14062,Play gym,Safari play gym. As good as new. Machine washable.,250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
221,229,18174,18176,18175,14311,Tiny Love Cot Mobile,Tiny love Cot Mobile with movement and sounds,600.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
222,233,18451,18453,18452,14484,Wooden sleigh cot,Wooden sleigh cot for sale - practically brand new!!,5000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
223,239,18887,18889,18888,14787,Baby feeding chair,"navy blue baby feeding chair ,hooks steadily onto dinner table,never been used.Easy to store and travel with.",100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
224,244,19471,19473,19472,15184,Camping cot,Camping cot excl matress incl manual breastpump set,550.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
225,245,19654,19656,19655,5779,Girls Shoes For Sale Size 8,"NO TIME WAISTERS.
Still in very good condition, washed and clean,brands from Walkmates, funmates, lollypop and Ackermans. 9x pairs in bag.

PLEASE ONLY WHATSUP DURING OFFICE HOURS CAN'T ANSWER PERSONAL CALLS AT WORK",400.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
226,264,21343,21345,21344,16448,Baby pouch,Baby sling pouch carrier R250,250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
227,266,21358,21360,21359,16461,Lindan bounce about,Lindam bounce about good condition,200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
228,274,21596,21598,21597,16621,3 Weeler Chelino pram and carrier with camping cot,3 weeler chelino pram with its carrier in good condition. called a joging pram for its comfart and easy to use any where. has a few scratches at the bottom nothing much. and a camping cot the cot is in working condution but coulor is faded. if you take bot,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
229,279,21860,21862,21861,16794,Tommee Tippee electric breast pump,Tommee Tippee electric breast pump te koop met 5 ekstra storage cups.een keer probeer gebruik en besluit op formula,800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
230,282,22048,22050,22049,16918,Safeway car seat,Moto x5 Safeway car seat in good condition,250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
231,286,22528,22530,22529,17211,Pram & car seat,"Chelino Pram & Car Seat, you can fold pram in one hand",1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
232,310,24674,24676,24675,18550,Angelcare Movement and Sound Baby Monitor,Opened but not used Angelcare movement and sound monitor. It was a duplicate gift. Return if not satisfied within 7 days.,700.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
233,311,24840,24842,24841,18648,New all All Star Converse leather,New all star Converse. Sizes 10:5. This are very small for my Son. Still in Original package with the till slip. I need to sell or exchage to get him bigger size.,350.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
234,312,24908,24910,24909,18682,Fetal heart detector,Works 100%,300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
235,322,25500,25502,25501,19068,Spiderman curtains x 3 plus 2 scatter cushions,Three standard spiderman Marval Kids polyesters curtains and twee scatter cushions.,450.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Tshwane Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
236,326,25741,25743,25742,19245,car bed for sale,Car bed still in good condestion must come and pick him up,2000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
237,328,25780,25782,25781,14917,Baby monitor,"UK baby monitor with adaptors for SA. Tall to baby function, sound and lights.",250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
238,329,26141,26143,26142,19494,baby chest of draws,"Baby 4 draw 1 door chest of draws 
1.2 m L x 1 m H x 45cm D
Available in a variety of colors 
Direct from factory shop to you 
Wide rage of furniture in store 

Furniture Factory Shop
116 Ellman street 
Sunderland ridge 
Centurion 
Pretoria 
0826261414",1699.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
239,332,26574,26576,26575,19763,Baby high chair for sale,Baby high chair for sale.,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
240,340,26982,26984,26983,20033,Stroller,Baby stroller - folds up similar to an umbrella,300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
241,348,27985,27987,27986,20673,Girl/ Boy Mamas & Papas pram for sale,Used and in good condition Mamas & Papas (Sola) pram. Unisex in colour (aubergine) with orange & green Ã¢ÂÂtreeÃ¢ÂÂ fabric.  Can be reversed to forward facing so that you can see your baby.  Front & rear suspension. Adjustable handle. Lie flat seat.  Lockabl,2000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
242,363,29611,29613,29612,21658,Baby Car Seat (Safeway),"Ã¢ÂÂ¢ Very Good Condition Car Seat
Ã¢ÂÂ¢ Clean
Ã¢ÂÂ¢ Well Maintained",500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
243,369,29838,29840,29839,21797,Swaai vir kinders,Swaai vir kinders,300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
244,371,29859,29861,29860,21808,Graco pack and play camping cot,Camping cot with pack and play kit,1800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
245,374,30176,30178,30177,21986,Little me 3 wheeler pram for R800,Little me gray and blue 3 wheeler pram for R800,800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
246,385,30671,30673,30672,22267,Stokke Xplory in Blue,"We are selling this amazing Stokke Xplory in excellent condition . It comes from a non - smoking home and has been very well looked after. This is a very attractive travel system that will be suitable from birth. 

This is listed as collection only so pl",14000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
247,396,31199,31201,31200,22565,Wooden Baby Cot,"Im selling a wooden baby cot, with matress, barely used. Price is negotiable.",1200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
248,406,32099,32101,32100,23078,Baby carrier,Comfort in good shape never been used its clean for babies  from 0months,100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
249,414,32397,32399,32398,13458,Nania Car seat Booster,Car Booster from 3 years to 10 year olds. AVAILABLE FROM 20 JUNE 2017.,800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Tshwane Metropolitan Municipality,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
